depth	min	max	median	mean
0	-50	-44	-47	-47
1	-45	45	-22	-16
2	-43	138	2	14
3	-41	229	27	45
4	-38	321	52	76
5	-36	413	76	106
6	-16	445	110	138
7	-3	484	144	170
8	6	530	177	201
9	14	594	207	233
10	22	669	237	265
11	50	700	270	297
12	70	732	304	330
13	86	778	336	362
14	98	832	369	394
15	107	888	400	427
16	140	918	434	459
17	166	949	468	491
18	184	990	501	523
19	199	1042	533	555
20	213	1091	564	587
21	245	1121	597	619
22	270	1158	629	651
23	288	1191	661	683
24	303	1234	692	715
25	317	1277	725	748
26	354	1304	756	779
27	387	1331	788	810
28	409	1369	822	841
29	426	1406	857	873
30	441	1460	888	904
31	479	1478	921	936
32	509	1505	956	968
33	536	1538	990	1000
34	557	1579	1022	1032
35	573	1621	1054	1064
36	613	1643	1088	1096
37	641	1669	1121	1128
38	664	1692	1154	1160
39	691	1727	1187	1192
40	713	1765	1220	1224
41	746	1786	1252	1256
42	776	1815	1285	1288
43	810	1848	1318	1320
44	828	1885	1350	1352
45	848	1931	1382	1384
46	893	1958	1412	1416
47	923	1982	1446	1449
48	954	2015	1480	1482
49	979	2045	1513	1515
50	1004	2093	1547	1547
51	1052	2111	1579	1579
52	1091	2130	1612	1610
53	1123	2159	1644	1642
54	1150	2194	1677	1673
55	1172	2223	1710	1705
56	1221	2247	1744	1737
57	1259	2271	1776	1770
58	1296	2302	1810	1802
59	1321	2333	1842	1835
60	1349	2369	1875	1867
61	1391	2387	1907	1899
62	1431	2409	1939	1931
63	1464	2432	1971	1962
64	1492	2458	2005	1994
65	1513	2489	2038	2026
66	1556	2508	2067	2058
67	1599	2532	2100	2090
68	1634	2558	2130	2121
69	1666	2583	2164	2153
70	1696	2619	2195	2185
71	1755	2636	2226	2216
72	1798	2654	2257	2248
73	1837	2676	2289	2280
74	1866	2702	2323	2312
75	1888	2732	2355	2344
76	1947	2747	2384	2376
77	2005	2764	2416	2409
78	2051	2789	2447	2441
79	2090	2808	2479	2474
80	2122	2840	2513	2506
81	2190	2856	2541	2537
82	2252	2878	2571	2569
83	2302	2901	2603	2600
84	2341	2929	2637	2631
85	2372	2962	2674	2663
86	2408	2999	2710	2700
87	2438	3048	2745	2736
88	2459	3117	2777	2773
89	2480	3192	2807	2810
90	2497	3272	2837	2847
91	2532	3299	2875	2883
92	2563	3341	2910	2919
93	2586	3387	2945	2955
94	2606	3447	2980	2991
95	2624	3510	3013	3027
96	2663	3543	3049	3064
97	2693	3581	3090	3102
98	2724	3627	3128	3139
99	2746	3683	3166	3176
100	2764	3745	3201	3214
101	2804	3772	3239	3250
102	2837	3805	3275	3286
103	2863	3848	3312	3323
104	2884	3898	3348	3359
105	2906	3958	3384	3396
106	2954	3981	3422	3433
107	2987	4009	3461	3469
108	3020	4044	3498	3506
109	3044	4087	3535	3543
110	3068	4138	3570	3580
111	3108	4166	3609	3617
112	3146	4193	3645	3653
113	3173	4224	3684	3690
114	3200	4268	3723	3727
115	3222	4322	3760	3764
116	3266	4347	3798	3800
117	3306	4376	3834	3837
118	3344	4409	3873	3873
119	3373	4442	3910	3909
120	3397	4480	3944	3946
121	3444	4506	3984	3983
122	3482	4532	4023	4020
123	3512	4564	4063	4057
124	3544	4596	4100	4093
125	3563	4647	4138	4130
126	3614	4666	4175	4167
127	3655	4687	4215	4204
128	3694	4713	4255	4241
129	3723	4745	4295	4277
130	3748	4791	4332	4314
131	3804	4809	4367	4350
132	3847	4827	4404	4386
133	3884	4853	4445	4422
134	3918	4884	4482	4458
135	3944	4924	4517	4494
136	4002	4942	4554	4532
137	4059	4962	4593	4570
138	4099	4986	4630	4607
139	4135	5018	4669	4645
140	4168	5057	4708	4682
141	4239	5074	4740	4718
142	4299	5093	4776	4754
143	4339	5117	4809	4790
144	4371	5144	4844	4826
145	4401	5179	4880	4862
146	4455	5193	4907	4894
147	4500	5212	4936	4925
148	4530	5231	4966	4957
149	4560	5263	4996	4989
