depth	min	max	median	mean
19.5	-57	-19	-41	-41
20.5	-52	28	-28	-24
21.5	-49	78	-15	-7
22.5	-47	127	-1	10
23.5	-45	177	12	26
24.5	-37	207	27	43
25.5	-29	225	45	59
26.5	-24	246	63	76
27.5	-19	274	79	92
28.5	-15	305	95	108
29.5	-4	330	112	125
30.5	8	346	128	141
31.5	15	365	145	157
32.5	22	390	163	174
33.5	28	418	179	190
34.5	39	441	195	207
35.5	56	454	211	223
36.5	66	471	228	239
37.5	75	490	245	255
38.5	82	518	262	271
39.5	94	536	278	287
40.5	110	549	295	304
41.5	122	565	312	320
42.5	132	588	328	337
43.5	140	611	344	353
44.5	157	627	361	369
45.5	172	640	377	385
46.5	186	653	395	402
47.5	197	667	411	418
48.5	205	688	428	434
49.5	222	705	445	450
50.5	239	721	463	467
51.5	252	738	481	484
52.5	264	754	498	501
53.5	272	779	515	518
54.5	287	794	531	534
55.5	308	808	548	550
56.5	324	824	563	566
57.5	336	838	579	582
58.5	346	857	595	598
59.5	361	872	611	614
60.5	383	885	627	630
61.5	400	898	644	647
62.5	416	912	662	663
63.5	428	931	679	680
64.5	443	948	695	696
65.5	463	959	711	712
66.5	480	970	729	729
67.5	495	987	746	745
68.5	511	1007	763	762
69.5	529	1021	779	778
70.5	552	1030	796	794
71.5	567	1041	812	811
72.5	580	1055	828	827
73.5	594	1077	845	844
74.5	614	1092	861	860
75.5	639	1103	877	876
76.5	660	1114	894	892
77.5	674	1128	911	909
78.5	691	1146	928	925
79.5	712	1158	943	941
80.5	739	1167	958	958
81.5	764	1180	973	974
82.5	784	1192	990	990
83.5	799	1207	1006	1006
84.5	825	1218	1022	1023
85.5	860	1224	1038	1039
86.5	891	1234	1054	1056
87.5	916	1244	1070	1072
88.5	933	1258	1087	1089
89.5	952	1273	1103	1105
90.5	970	1293	1120	1122
91.5	978	1318	1137	1139
92.5	987	1349	1154	1156
93.5	995	1382	1170	1173
94.5	1008	1410	1185	1190
95.5	1023	1426	1203	1207
96.5	1036	1450	1220	1225
97.5	1045	1479	1236	1242
98.5	1053	1508	1253	1260
99.5	1066	1533	1270	1277
100.5	1080	1554	1287	1294
101.5	1093	1575	1303	1312
102.5	1105	1597	1321	1329
103.5	1114	1626	1338	1346
104.5	1128	1648	1354	1363
105.5	1144	1665	1372	1380
106.5	1160	1686	1388	1398
107.5	1173	1712	1406	1415
108.5	1184	1740	1424	1432
109.5	1199	1761	1441	1449
110.5	1217	1780	1457	1466
111.5	1231	1800	1475	1484
112.5	1243	1827	1492	1501
113.5	1253	1849	1508	1518
114.5	1270	1869	1525	1536
115.5	1288	1885	1543	1554
116.5	1304	1906	1561	1571
117.5	1319	1923	1579	1589
118.5	1331	1949	1597	1607
119.5	1349	1970	1614	1624
120.5	1370	1984	1631	1642
121.5	1389	2001	1648	1659
122.5	1402	2024	1665	1677
123.5	1415	2051	1683	1695
124.5	1431	2072	1700	1712
125.5	1450	2090	1716	1729
126.5	1467	2112	1733	1746
127.5	1483	2132	1749	1763
128.5	1493	2154	1765	1780
129.5	1512	2177	1781	1797
130.5	1534	2196	1798	1814
131.5	1553	2212	1815	1832
132.5	1569	2237	1832	1849
133.5	1582	2257	1849	1866
134.5	1602	2277	1864	1883
135.5	1626	2297	1880	1901
136.5	1645	2321	1895	1918
137.5	1662	2345	1911	1935
138.5	1676	2372	1928	1952
139.5	1695	2395	1944	1969
140.5	1724	2415	1960	1987
141.5	1746	2442	1977	2004
142.5	1765	2469	1993	2021
143.5	1779	2496	2009	2039
144.5	1796	2518	2025	2056
145.5	1824	2543	2038	2074
146.5	1846	2567	2052	2091
147.5	1869	2590	2065	2109
148.5	1885	2622	2080	2126
149.5	1905	2649	2104	2150
150.5	1926	2679	2133	2179
151.5	1942	2710	2164	2209
152.5	1955	2744	2197	2238
153.5	1964	2795	2230	2268
154.5	1983	2837	2261	2298
155.5	2005	2878	2293	2330
156.5	2020	2926	2326	2361
157.5	2035	2970	2357	2392
158.5	2046	3036	2387	2424
159.5	2064	3086	2415	2455
160.5	2084	3123	2447	2487
161.5	2097	3162	2479	2518
162.5	2109	3217	2508	2550
163.5	2122	3281	2537	2582
164.5	2142	3339	2564	2613
165.5	2164	3381	2596	2645
166.5	2184	3436	2623	2677
167.5	2199	3485	2651	2708
168.5	2212	3546	2683	2740
169.5	2232	3602	2713	2772
170.5	2251	3631	2746	2804
171.5	2270	3682	2776	2835
172.5	2290	3727	2806	2867
173.5	2303	3792	2834	2899
174.5	2322	3839	2862	2931
175.5	2344	3883	2893	2962
176.5	2363	3932	2923	2994
177.5	2377	3978	2955	3026
178.5	2393	4032	2984	3057
179.5	2409	4080	3017	3089
180.5	2430	4111	3051	3121
181.5	2449	4148	3082	3153
182.5	2466	4190	3113	3185
183.5	2481	4247	3141	3217
184.5	2498	4286	3174	3249
185.5	2517	4320	3204	3281
186.5	2539	4368	3234	3313
187.5	2556	4417	3265	3344
188.5	2571	4473	3296	3376
189.5	2593	4516	3328	3408
190.5	2615	4551	3358	3440
191	2625	4568	3376	3456
191.00002	2625	4568	3376	3456
191.5	2625	4568	3376	3456
192.5	2625	4568	3376	3456
193.5	2625	4568	3376	3456
194.5	2625	4568	3376	3456
195.5	2625	4568	3376	3456
196.5	2625	4568	3376	3456
197.5	2625	4568	3376	3456
198.5	2625	4568	3376	3456
199.5	2625	4568	3376	3456
200	2625	4568	3376	3456
200.00002	2625	4568	3376	3456
200.5	2634	4588	3391	3472
201.5	2650	4640	3423	3503
202.5	2670	4694	3456	3535
203.5	2686	4725	3486	3567
204.5	2706	4755	3514	3598
205.5	2724	4802	3543	3629
206.5	2745	4849	3573	3661
207.5	2759	4907	3603	3692
208.5	2778	4947	3633	3723
209.5	2802	4982	3662	3755
210.5	2822	5021	3688	3786
211.5	2843	5055	3720	3817
212.5	2862	5095	3748	3848
213.5	2881	5136	3778	3880
214.5	2904	5172	3811	3911
215.5	2924	5209	3843	3942
216.5	2948	5244	3871	3974
217.5	2965	5287	3901	4005
218.5	2988	5324	3932	4036
219.5	3010	5368	3963	4068
220.5	3029	5407	3994	4100
221.5	3048	5445	4026	4132
222.5	3064	5491	4058	4163
223.5	3084	5532	4089	4195
224.5	3106	5560	4120	4227
225.5	3124	5603	4150	4258
226.5	3145	5649	4180	4290
227.5	3161	5686	4209	4322
228.5	3183	5721	4238	4354
229.5	3208	5748	4270	4385
230.5	3232	5780	4299	4417
231.5	3249	5821	4328	4449
232.5	3268	5863	4359	4481
233.5	3290	5899	4386	4512
234.5	3308	5926	4414	4543
235.5	3326	5961	4439	4574
236.5	3346	5990	4468	4606
237.5	3363	6032	4498	4637
238.5	3384	6070	4527	4668
239.5	3412	6096	4556	4699
240.5	3432	6122	4585	4731
241.5	3451	6148	4613	4762
242.5	3467	6188	4640	4794
243.5	3489	6220	4665	4826
244.5	3515	6244	4693	4858
245.5	3541	6269	4723	4890
246.5	3556	6300	4755	4922
247.5	3570	6346	4786	4954
248.5	3594	6380	4813	4985
249.5	3619	6396	4839	5017
250.5	3636	6425	4866	5048
251.5	3658	6449	4894	5080
252.5	3677	6483	4923	5111
253.5	3702	6517	4954	5140
254.5	3718	6541	4978	5167
255.5	3739	6566	5006	5193
256	3748	6587	5020	5206
256.00002	3748	6587	5020	5206
256.5	3748	6587	5020	5206
257.5	3748	6587	5020	5206
258.5	3748	6587	5020	5206
259.5	3748	6587	5020	5206
260.5	3748	6587	5020	5206
261.5	3748	6587	5020	5206
262.5	3748	6587	5020	5206
263.5	3748	6587	5020	5206
264.5	3748	6587	5020	5206
265.5	3748	6587	5020	5206
266.5	3748	6587	5020	5206
267.5	3748	6587	5020	5206
268.5	3748	6587	5020	5206
269.5	3748	6587	5020	5206
270.5	3748	6587	5020	5206
293	3748	6587	5020	5206
293.00002	3748	6587	5020	5206
