depth	min	max	median	mean
0	-63	-34	-49	-49
1	-52	43	-24	-19
2	-47	134	-1	11
3	-44	225	23	40
4	-41	317	47	70
5	-39	407	71	100
6	-20	430	101	130
7	-9	469	133	160
8	-1	520	163	190
9	7	582	192	220
10	13	649	218	250
11	36	682	250	281
12	54	721	283	311
13	68	769	313	342
14	80	820	345	373
15	90	883	373	403
16	119	907	404	434
17	140	942	436	465
18	156	986	470	495
19	171	1029	499	526
20	183	1086	531	557
21	213	1116	561	588
22	235	1155	593	619
23	252	1195	625	650
24	266	1242	655	681
25	276	1296	685	712
26	312	1329	716	743
27	336	1372	745	773
28	357	1415	776	804
29	373	1464	806	835
30	388	1512	836	866
31	418	1542	868	897
32	439	1568	900	928
33	458	1607	930	959
34	480	1653	962	991
35	496	1703	991	1022
36	530	1733	1023	1053
37	559	1771	1059	1083
38	581	1804	1091	1114
39	599	1847	1120	1145
40	616	1891	1149	1176
41	646	1920	1179	1207
42	672	1950	1212	1238
43	692	1985	1246	1269
44	709	2017	1278	1300
45	725	2059	1312	1331
46	749	2087	1340	1360
47	775	2118	1371	1390
48	799	2149	1399	1419
49	820	2194	1429	1449
50	839	2232	1460	1478
51	867	2267	1488	1509
52	895	2297	1519	1540
53	917	2334	1550	1571
54	939	2375	1581	1602
55	958	2418	1611	1633
56	991	2444	1642	1665
57	1016	2471	1672	1696
58	1041	2511	1706	1728
59	1064	2548	1739	1759
60	1083	2588	1771	1791
61	1116	2620	1803	1821
62	1146	2645	1833	1852
63	1175	2679	1865	1882
64	1198	2714	1894	1913
65	1219	2758	1922	1943
66	1246	2779	1954	1974
67	1275	2817	1987	2005
68	1302	2848	2018	2035
69	1325	2885	2051	2066
70	1345	2924	2082	2097
71	1373	2953	2113	2128
72	1404	2983	2145	2160
73	1432	3014	2175	2191
74	1455	3047	2204	2223
75	1475	3096	2236	2254
76	1507	3122	2268	2285
77	1536	3154	2299	2316
78	1561	3184	2331	2347
79	1583	3221	2362	2378
80	1606	3267	2393	2409
81	1644	3291	2424	2440
82	1672	3318	2457	2471
83	1698	3350	2490	2502
84	1717	3398	2524	2532
85	1739	3430	2554	2563
86	1772	3457	2587	2594
87	1798	3491	2617	2625
88	1825	3525	2650	2656
89	1847	3555	2680	2686
90	1874	3598	2712	2717
91	1901	3622	2742	2747
92	1935	3645	2774	2777
93	1956	3675	2804	2807
94	1979	3710	2832	2837
95	1996	3748	2862	2868
96	2027	3777	2892	2897
97	2057	3806	2925	2927
98	2080	3833	2954	2957
99	2100	3867	2983	2987
100	2121	3901	3014	3016
101	2152	3931	3047	3047
102	2183	3969	3079	3077
103	2205	4002	3110	3107
104	2229	4035	3139	3138
105	2257	4075	3168	3168
106	2286	4099	3197	3198
107	2318	4127	3229	3229
108	2343	4163	3257	3259
109	2371	4202	3286	3289
110	2393	4237	3317	3319
111	2425	4265	3349	3351
112	2457	4298	3380	3382
113	2487	4323	3414	3413
114	2514	4357	3446	3444
115	2537	4393	3476	3475
116	2572	4417	3507	3505
117	2593	4444	3539	3536
118	2620	4476	3569	3566
119	2637	4502	3599	3597
120	2663	4544	3631	3627
121	2697	4569	3664	3658
122	2729	4591	3696	3689
123	2761	4629	3728	3720
124	2788	4661	3760	3751
125	2811	4697	3792	3783
126	2841	4725	3824	3813
127	2872	4757	3855	3844
127.00002	2872	4757	3855	3844
128	2872	4757	3855	3844
129	2872	4757	3855	3844
130	2872	4757	3855	3844
131	2872	4757	3855	3844
132	2872	4757	3855	3844
133	2872	4757	3855	3844
134	2872	4757	3855	3844
135	2872	4757	3855	3844
136	2872	4757	3855	3844
137	2872	4757	3855	3844
138	2872	4757	3855	3844
139	2872	4757	3855	3844
140	2872	4757	3855	3844
141	2872	4757	3855	3844
142	2872	4757	3855	3844
143	2872	4757	3855	3844
144	2872	4757	3855	3844
145	2872	4757	3855	3844
146	2872	4757	3855	3844
147	2872	4757	3855	3844
148	2872	4757	3855	3844
149	2872	4757	3855	3844
150	2872	4757	3855	3844
151	2872	4757	3855	3844
152	2872	4757	3855	3844
153	2872	4757	3855	3844
154	2872	4757	3855	3844
155	2872	4757	3855	3844
156	2872	4757	3855	3844
157	2872	4757	3855	3844
158	2872	4757	3855	3844
159	2872	4757	3855	3844
160	2872	4757	3855	3844
161	2872	4757	3855	3844
162	2872	4757	3855	3844
163	2872	4757	3855	3844
164	2872	4757	3855	3844
165	2872	4757	3855	3844
166	2872	4757	3855	3844
167	2872	4757	3855	3844
168	2872	4757	3855	3844
169	2872	4757	3855	3844
170	2872	4757	3855	3844
171	2872	4757	3855	3844
172	2872	4757	3855	3844
173	2872	4757	3855	3844
174	2872	4757	3855	3844
175	2872	4757	3855	3844
176	2872	4757	3855	3844
177	2872	4757	3855	3844
177.00002	2872	4757	3855	3844
178	2893	4789	3885	3875
179	2918	4821	3917	3905
180	2935	4844	3950	3936
181	2967	4868	3980	3967
182	2999	4892	4010	3997
183	3030	4921	4041	4028
184	3052	4951	4076	4058
185	3074	4986	4107	4089
186	3111	5008	4137	4120
187	3138	5035	4173	4151
188	3162	5064	4206	4182
189	3186	5102	4237	4213
