depth	min	max	median	mean
0	-80	-53	-67	-67
1	-74	-30	-57	-56
2	-71	2	-48	-45
3	-69	34	-40	-34
4	-67	67	-31	-22
5	-65	100	-22	-11
6	-58	112	-10	0
7	-53	127	2	11
8	-50	144	14	23
9	-47	165	25	34
10	-44	190	36	45
11	-35	201	46	57
12	-28	216	59	68
13	-23	226	70	79
14	-19	246	82	90
15	-15	266	93	101
16	-4	274	104	113
17	3	287	116	124
18	10	299	128	136
19	15	316	140	147
20	19	339	153	159
21	31	348	164	170
22	38	359	175	182
23	45	375	187	193
24	51	389	199	205
25	58	408	210	216
26	71	417	222	228
27	79	426	234	239
28	88	437	245	250
29	94	452	256	262
30	100	471	268	273
31	111	481	279	285
32	122	491	292	296
33	131	503	304	307
34	139	519	315	319
35	146	537	326	330
36	158	545	338	342
37	167	554	349	353
38	176	563	361	364
39	184	575	373	375
40	192	593	384	386
41	206	598	396	397
42	217	607	407	409
43	228	617	419	420
44	236	628	430	431
45	244	642	441	443
46	256	652	452	454
47	268	662	464	465
48	279	674	476	476
49	286	687	487	487
50	294	704	499	498
51	309	711	510	509
52	320	719	522	520
53	330	730	533	532
54	338	741	544	543
55	346	758	556	554
56	359	767	567	565
57	373	776	578	576
58	387	786	589	588
59	397	797	600	599
60	407	812	611	610
61	419	817	622	621
62	431	825	633	632
63	444	834	645	644
64	452	847	657	655
65	460	860	668	666
66	474	868	678	678
67	489	876	690	689
68	500	885	702	701
69	511	897	713	712
70	521	910	725	723
71	537	917	737	735
72	552	926	748	746
73	564	934	760	757
74	575	948	771	769
75	585	960	782	780
76	601	967	794	792
77	618	976	807	803
78	633	984	818	814
79	643	996	830	826
80	651	1006	841	837
81	671	1014	852	848
82	686	1021	863	859
83	699	1031	874	870
84	709	1040	885	881
85	720	1052	896	892
86	741	1059	906	904
87	759	1067	916	915
88	775	1075	927	927
89	786	1085	937	938
90	795	1097	949	949
91	824	1104	957	961
92	848	1112	967	972
93	868	1122	976	983
94	887	1131	986	994
95	899	1145	997	1005
96	920	1151	1005	1014
97	932	1159	1013	1024
98	941	1167	1023	1034
99	947	1177	1034	1044
100	952	1187	1045	1053
101	961	1195	1054	1062
102	968	1205	1063	1070
103	974	1215	1072	1079
104	979	1228	1081	1087
105	984	1241	1089	1095
106	991	1249	1098	1104
107	998	1259	1106	1112
108	1003	1266	1116	1121
109	1007	1278	1124	1129
110	1011	1290	1132	1138
111	1021	1299	1141	1146
112	1028	1307	1149	1155
113	1035	1317	1158	1163
114	1039	1329	1167	1172
115	1045	1341	1176	1180
116	1052	1349	1184	1189
