Pollen_taxa,Habitat_type,groupid
Alphitonia,DIST,1
Amaranthaceae,DIST,1
Colocasia,DIST,1
Desmodium,DIST,1
Elattostachys,DIST,1
Homalanthus,DIST,1
Ludwigia,DIST,1
Lycopodium,DIST,1
Macaranga,DIST,1
Neonauclea,DIST,1
Pinaceae,DIST,1
Plantago,DIST,1
Rhus,DIST,1
Trema,DIST,1
Urticaceae,DIST,1
Urticaceae.Moraceae,DIST,1
Arecaceae,LITTO,2
Barringtonia,LITTO,2
Calophyllum,LITTO,2
Canavalia,LITTO,2
Casuarina,LITTO,2
Cocos,LITTO,2
Cocos nucifera,LITTO,2
Ficus,LITTO,2
Guettarda,LITTO,2
Hernandia,LITTO,2
Hibiscus,LITTO,2
Ipomoea,LITTO,2
Malvaceae,LITTO,2
Morinda,LITTO,2
Pandanus,LITTO,2
Pisonia,LITTO,2
Pittosporum,LITTO,2
Premna,LITTO,2
Terminalia,LITTO,2
Tournefortia,LITTO,2
Triumfetta,LITTO,2
Vigna,LITTO,2
Acrostichum,MANG,3
Excoecaria,MANG,3
Rhizophora,MANG,3
Rhizophoraceae,MANG,3
Anacardiaceae,RAIN,4
Bischofia,RAIN,4
Burseraceae,RAIN,4
Canarium,RAIN,4
Diospyros,RAIN,4
Dysoxylum,RAIN,4
Elaeocarpus,RAIN,4
Grewia,RAIN,4
Hedycarya,RAIN,4
Jasminum,RAIN,4
Maytenus,RAIN,4
Myrtaceae,RAIN,4
Planchonella,RAIN,4
Sapotaceae,RAIN,4
Syzygium,RAIN,4
Combretaceae.Melastromataceae,UNKN,5
Meliaceae.Sapotaceae,UNKN,5
Alternanthera,UNKN,5
Amaranthus,UNKN,5
Ambrosia,UNKN,5
Anacolosa,UNKN,5
Antirhea,UNKN,5
Apiaceae,UNKN,5
Araceae,UNKN,5
Asplenium,UNKN,5
Astelia,UNKN,5
Asteraceae,UNKN,5
Brassicaceae,UNKN,5
Calycosia,UNKN,5
Cardiospermum,UNKN,5
Caryophyllaceae,UNKN,5
Cyathula,UNKN,5
Cyrtandra,UNKN,5
Dianella,UNKN,5
Dracaena,UNKN,5
Euphorbia,UNKN,5
Euphorbiaceae,UNKN,5
Fabaceae,UNKN,5
Flagellariaceae,UNKN,5
Freycinetia,UNKN,5
Gardenia,UNKN,5
Garuga,UNKN,5
Geniostoma,UNKN,5
Glochidion,UNKN,5
Gymnosporia,UNKN,5
Homalium,UNKN,5
Hymenophyllaceae,UNKN,5
Ixora,UNKN,5
Lepisorus,UNKN,5
Leucas,UNKN,5
Loranthaceae,UNKN,5
Maesa,UNKN,5
Mallotus,UNKN,5
Malpighiaceae,UNKN,5
Melastomataceae,UNKN,5
Melastromataceae.Sapotaceae,UNKN,5
Microsorum,UNKN,5
Momordica,UNKN,5
Monolete echinate,UNKN,5
Monolete spores,UNKN,5
Moraceae,UNKN,5
Moraceae.Urticaceae,UNKN,5
Mussaenda,UNKN,5
Oleaceae,UNKN,5
Orchidaceae,UNKN,5
Phyllanthaceae,UNKN,5
Phyllanthus,UNKN,5
Phytolaccaceae,UNKN,5
Poaceae,UNKN,5
Podocarpaceae,UNKN,5
Polypodium,UNKN,5
Pteris,UNKN,5
Rhamnaceae,UNKN,5
Rubiaceae,UNKN,5
Salacia,UNKN,5
Schefflera,UNKN,5
Solanaceae,UNKN,5
Stachytarpheta,UNKN,5
Trilete spores,UNKN,5
Urena,UNKN,5
Vitaceae,UNKN,5
Erythrina,UNKN,5
Blyxa,WETL,6
Cyperaceae,WETL,6
Fimbristylis,WETL,6
Nymphoides,WETL,6
Polygonaceae,WETL,6
Polygonum,WETL,6
Potamogeton,WETL,6
Stenochlaena,WETL,6
Stenochlaena palustris,WETL,6
Typha,WETL,6
Typha latifolia,WETL,6
