"","DIST","LITTO","MANG","RAIN","UNKN","WETL","Cal_yrs_BP","Site"
"1",0,0,4397,0,5603,0,3249,"Finemui Swamp"
"2",1315,0,5231,0,3305,149,3456,"Finemui Swamp"
"3",3500,3000,0,0,3500,0,349,"Ngofe Marsh"
"4",664,2797,929,0,3700,1911,43,"Finemui Swamp"
"5",0,1642,1331,0,2173,4854,1079,"Lotofoa Swamp"
"6",0,1059,2070,566,5368,937,5672,"Lotofoa Swamp"
"7",445,0,4698,0,4858,0,2613,"Finemui Swamp"
"8",0,0,4595,0,5405,0,3911,"Finemui Swamp"
"9",101,455,455,152,2727,6111,2729,"Ngofe Marsh"
"10",0,272,451,0,6521,2756,464,"Lotofoa Swamp"
"11",0,977,427,0,6701,1894,159,"Lotofoa Swamp"
"12",0,418,4756,0,4662,164,2298,"Finemui Swamp"
"13",0,3630,3677,0,1756,937,5206,"Finemui Swamp"
"14",0,1377,487,0,4089,4047,5058,"Lotofoa Swamp"
"15",0,394,1858,399,7073,276,6293,"Lotofoa Swamp"
"16",0,0,119,0,7585,2296,7214,"Lotofoa Swamp"
"17",1111,749,4050,0,4091,0,3598,"Finemui Swamp"
"18",2281,1404,0,0,6316,0,1105,"Ngofe Marsh"
"19",2812,3438,0,0,3750,0,1670,"Ngofe Marsh"
"20",4545,2273,0,0,3182,0,1604,"Ngofe Marsh"
"21",5000,0,0,0,5000,0,1174,"Ngofe Marsh"
"22",3292,2857,0,0,3727,124,791,"Ngofe Marsh"
"23",4385,93,1462,209,3666,186,3502,"Ngofe Marsh"
"24",4062,0,156,469,3750,1562,4382,"Ngofe Marsh"
"25",4426,656,0,164,3115,1639,2103,"Ngofe Marsh"
"26",4000,0,0,0,6000,0,1941,"Ngofe Marsh"
"27",0,790,3510,857,4601,242,6599,"Lotofoa Swamp"
"28",147,493,5161,0,4015,184,1883,"Finemui Swamp"
"29",0,762,3377,0,5470,391,4140,"Lotofoa Swamp"
"30",0,453,1904,0,7643,0,3837,"Lotofoa Swamp"
"31",4139,857,1147,0,3071,786,3222,"Lotofoa Swamp"
"32",1185,2114,3763,0,1976,962,3531,"Lotofoa Swamp"
"33",332,383,5070,383,3832,0,3835,"Lotofoa Swamp"
"34",800,1465,6942,794,0,0,1996,"Lotofoa Swamp"
"35",4074,1111,111,204,3315,1185,2499,"Ngofe Marsh"
"36",2916,1093,849,197,2936,2008,369,"Finemui Swamp"
"37",270,1255,4012,1048,3233,182,1383,"Lotofoa Swamp"
"38",0,325,1144,570,6779,1182,6906,"Lotofoa Swamp"
"39",1546,1997,254,348,2915,2940,860,"Finemui Swamp"
"40",3304,357,3929,1518,893,0,6986,"Ngofe Marsh"
"41",2407,185,0,556,2963,3889,3176,"Ngofe Marsh"
"42",4231,192,0,385,4808,385,2336,"Ngofe Marsh"
"43",4583,1667,0,417,2917,417,1800,"Ngofe Marsh"
"44",7937,635,317,635,317,159,3624,"Ngofe Marsh"
"45",6857,95,286,952,1810,0,3829,"Ngofe Marsh"
"46",275,593,4051,699,4304,79,4543,"Finemui Swamp"
"47",399,801,5060,841,2900,0,2301,"Lotofoa Swamp"
"48",1150,354,3982,3982,531,0,5523,"Ngofe Marsh"
"49",2190,219,219,2044,3358,1971,3394,"Ngofe Marsh"
"50",1338,255,4586,3312,510,0,5703,"Ngofe Marsh"
"51",1379,115,5747,2069,690,0,6588,"Ngofe Marsh"
"52",1667,1515,2652,2879,1288,0,5848,"Ngofe Marsh"
"53",2185,177,4531,1420,1687,0,5207,"Finemui Swamp"
"54",0,0,3293,1495,4366,845,4443,"Lotofoa Swamp"
"55",2143,0,4082,2755,1020,0,6422,"Ngofe Marsh"
"56",3025,0,2778,2346,1728,123,6192,"Ngofe Marsh"
"57",2917,0,1250,2778,3056,0,4061,"Ngofe Marsh"
"58",2028,210,3077,3217,1399,70,6453,"Ngofe Marsh"
"59",1467,0,4133,3600,800,0,6903,"Ngofe Marsh"
"60",2099,123,1358,3951,2222,247,4604,"Ngofe Marsh"
"61",3586,49,543,1102,2220,2500,3285,"Ngofe Marsh"
"62",7358,173,840,988,469,173,3720,"Ngofe Marsh"
"63",3352,110,247,1429,3764,1099,4277,"Ngofe Marsh"
"64",1958,475,3205,2136,2226,0,5619,"Ngofe Marsh"
"65",2099,165,4074,3086,535,41,6390,"Ngofe Marsh"
"66",1334,165,69,234,3219,4979,3054,"Ngofe Marsh"
"67",1784,5081,54,54,2973,54,610,"Ngofe Marsh"
"68",1257,120,3832,1198,3593,0,7078,"Ngofe Marsh"
"69",654,872,2252,0,5298,923,1023,"Finemui Swamp"
"70",1220,244,3008,4472,1057,0,5267,"Ngofe Marsh"
"71",191,623,4686,136,4008,356,1536,"Finemui Swamp"
"72",6168,280,0,93,2523,935,2620,"Ngofe Marsh"
"73",2280,1902,592,144,3586,1496,207,"Finemui Swamp"
"74",5412,353,353,1529,2118,235,3939,"Ngofe Marsh"
"75",1001,911,4337,882,2869,0,4858,"Finemui Swamp"
"76",825,1031,2371,4639,1134,0,5000,"Ngofe Marsh"
"77",3429,1673,542,359,2724,1273,534,"Finemui Swamp"
"78",1951,4146,244,244,3171,244,1537,"Ngofe Marsh"
"79",4103,1795,0,256,3846,0,700,"Ngofe Marsh"
"80",0,1476,993,0,6174,1357,5363,"Lotofoa Swamp"
"81",2979,957,0,0,6064,0,474,"Ngofe Marsh"
"82",431,611,5650,0,3308,0,4227,"Finemui Swamp"
"83",0,939,6537,0,1511,1013,2605,"Lotofoa Swamp"
"84",952,3333,476,0,5238,0,1034,"Ngofe Marsh"
"85",345,1695,1078,0,5401,1481,4748,"Lotofoa Swamp"
"86",6667,1667,0,0,1667,0,1982,"Ngofe Marsh"
"87",0,2935,1432,989,3908,737,5984,"Lotofoa Swamp"
"88",1192,325,5149,1734,1599,0,6724,"Ngofe Marsh"
"89",1139,95,5000,1424,2278,63,7173,"Ngofe Marsh"
"90",1773,635,3311,1973,2140,167,4652,"Ngofe Marsh"
"91",1137,575,3534,3151,1575,27,5428,"Ngofe Marsh"
"92",2508,391,33,1531,4853,684,4473,"Ngofe Marsh"
"93",827,118,1378,1142,6142,394,7340,"Ngofe Marsh"
"94",1680,410,4016,1516,2090,287,7435,"Ngofe Marsh"
"95",369,3450,4344,0,1680,158,1190,"Finemui Swamp"
"96",2718,187,1743,3797,1494,62,5132,"Ngofe Marsh"
"97",2083,729,2812,3438,937,0,6026,"Ngofe Marsh"
"98",3773,289,763,2227,2948,0,4850,"Ngofe Marsh"
"99",5495,2308,440,220,1319,220,1233,"Ngofe Marsh"
"100",2773,420,3866,2101,840,0,6285,"Ngofe Marsh"
"101",1234,584,4416,2662,1104,0,6098,"Ngofe Marsh"
"102",1068,3205,1705,341,2545,1136,2249,"Avaiovuna Swamp"
"103",0,2123,6489,0,1388,0,1689,"Lotofoa Swamp"
"104",1050,1326,2597,4199,829,0,5941,"Ngofe Marsh"
"105",3516,1899,98,127,3488,872,2213,"Ngofe Marsh"
"106",956,1894,1363,602,1274,3912,1481,"Avaiovuna Swamp"
"107",1739,3065,1500,22,1500,2174,333,"Avaiovuna Swamp"
"108",898,1910,161,81,1277,5673,-47,"Avaiovuna Swamp"
"109",878,2557,1698,0,2748,2118,1102,"Avaiovuna Swamp"
"110",1534,2878,1429,147,2353,1660,2633,"Avaiovuna Swamp"
"111",455,3007,1364,52,2360,2762,718,"Avaiovuna Swamp"
"112",1933,1764,524,0,3334,2446,696,"Finemui Swamp"
"113",885,3982,1327,0,3540,265,4381,"Avaiovuna Swamp"
"114",1406,3203,2535,253,1843,760,1860,"Avaiovuna Swamp"
"115",680,4369,388,194,3786,583,4820,"Avaiovuna Swamp"
"116",880,2480,640,560,2880,2560,3949,"Avaiovuna Swamp"
"117",0,512,4587,0,4612,288,1363,"Finemui Swamp"
"118",459,1811,842,0,3399,3490,768,"Lotofoa Swamp"
"119",938,2656,156,0,3594,2656,3074,"Avaiovuna Swamp"
"120",0,850,5580,378,3192,0,2931,"Finemui Swamp"
"121",824,845,4161,0,3944,225,1712,"Finemui Swamp"
"122",62,803,4105,285,4626,119,2056,"Finemui Swamp"
"123",740,2520,2987,832,2150,772,5167,"Finemui Swamp"
