Cal_yrs_BP,Depth_cm,Site,Alphitonia,Alternanthera,Ambrosia-type,Anacolosa,Antirhea,Apiaceae,Arecaceae,Astelia,Asteraceae,Barringtonia,Brassicaceae,Calophyllum,Calycosia,Canarium,Canavalia,Cardiospermum,Casuarina,cf. Cordyline,cf. Cupaniopsis,cf. Entada,cf. Hedycarya,cf. Pleiogynium,cf. Vitex,Chenopodiaceae-Amaranthus,Cocos,Colocasia,Cyperaceae ,Cyrtandra ,Desmodium,Dianella,Elaeocarpus,Elattostachys,Erythrina,Euphorbiaceae,Excoecaria,Fimbristylis,Flagellariaceae,Freyeinetia,Gardenia,Garuga,Guettarda,Hernandia,Hibiscus ,Indeterminant,Ipomoea,Ipomoea cf. batatas,Jasminum,Lorantheceae,Macaranga,Malvaceae,Maytenus,Melastomataceae,Monolete spores,Moraceae,Mussaenda,Myrtaceae,Neonauclea,Omalanthus,Pandanus,Paplionaceae,Phyllanthus,Pisonia,Pittosporum,Poaceae,Poaceae >60m,Poaceae 2-pores,Polgonum,Rhizophora,Rhus,Salacia,Sapotaceae,Solanaceae,Terminalia,Trema,Trilete spores,Triumfetta,Unknown,Urena,Urticaceae,Vigna
-47,0,Avaiovuna Swamp,1,7,2,0,0,0,4,0,2,0,0,0,0,0,2,0,2,1,3,0,0,5,0,2,82,3,490,0,0,0,0,3,2,0,14,1,0,0,3,0,0,1,0,46,0,1,2,0,60,0,3,0,19,2,0,1,0,0,71,1,4,1,0,38,17,0,2,0,6,0,1,0,1,2,11,0,2,1,3,1
333,12,Avaiovuna Swamp,1,0,0,0,0,1,2,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,42,1,97,0,0,0,0,1,0,0,63,0,0,0,0,0,0,2,0,6,0,0,0,0,68,1,0,0,6,0,0,0,0,1,93,4,2,0,0,18,0,0,3,6,1,0,0,1,0,7,34,0,0,0,0,0
718,24,Avaiovuna Swamp,1,0,0,0,0,0,54,0,3,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,39,0,147,0,0,1,0,0,0,0,78,5,1,0,0,2,0,1,2,69,0,1,0,0,18,1,0,0,13,4,0,0,0,1,71,1,0,0,0,49,2,0,6,0,0,0,2,3,1,6,55,0,2,0,0,0
1102,36,Avaiovuna Swamp,1,0,0,0,0,0,4,0,2,0,0,0,1,0,0,0,2,2,0,1,0,0,4,0,26,1,75,0,0,0,0,1,1,0,89,26,0,0,0,0,0,1,0,46,2,0,0,2,33,0,0,1,6,3,0,0,0,3,98,12,0,1,0,49,0,1,10,0,1,1,0,0,0,6,65,0,1,0,0,0
1481,48,Avaiovuna Swamp,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,2,0,0,0,3,7,1,5,13,2,209,0,0,0,27,0,1,0,76,12,0,1,0,0,0,0,0,68,1,0,2,2,39,2,4,0,2,0,0,0,0,5,83,6,0,0,0,30,0,0,0,1,0,0,1,2,0,1,22,0,1,0,7,0
1860,60,Avaiovuna Swamp,2,0,0,0,1,0,1,0,4,0,0,53,0,0,0,0,0,0,0,0,0,9,2,2,29,0,30,0,0,0,8,0,0,1,100,2,0,0,0,0,0,0,0,35,0,0,0,0,54,1,1,0,8,0,0,2,0,1,52,9,0,0,0,34,0,0,1,10,0,0,0,1,3,4,20,0,4,0,0,0
2249,72,Avaiovuna Swamp,4,0,0,1,1,0,1,1,0,0,2,30,0,2,1,0,2,1,0,0,0,7,0,3,29,0,47,0,0,0,11,3,0,0,65,2,0,1,1,0,0,0,0,15,0,0,0,0,34,0,0,0,12,0,1,1,0,1,70,9,0,1,0,40,8,0,1,10,4,0,1,0,7,1,32,0,2,0,0,0
2633,84,Avaiovuna Swamp,2,0,1,0,0,0,1,0,2,0,1,10,0,1,0,0,0,1,1,0,0,1,0,0,68,0,75,2,3,0,4,3,0,0,64,0,0,3,0,0,0,0,1,46,0,0,0,0,42,2,2,0,19,2,0,0,0,11,46,2,0,2,0,26,0,0,4,4,7,0,0,5,7,5,48,0,15,1,0,0
3074,96,Avaiovuna Swamp,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,17,0,0,1,4,0,10,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,32,0,0,0,0,0,2,0,0,4,0,0,0,0,0,5,7,0,1,1,4,0,0,5,0,6,0,0,5,0,0,0,0,7,0,0,0
3949,120,Avaiovuna Swamp,0,0,1,0,0,0,3,0,2,0,0,4,0,0,0,0,0,0,0,0,10,0,0,2,9,0,21,0,0,0,0,0,0,0,8,7,0,0,0,0,1,0,0,49,2,0,1,0,2,0,0,0,10,0,0,0,2,1,12,2,0,0,0,9,0,0,4,0,4,0,6,7,0,1,3,0,4,0,1,0
4381,132,Avaiovuna Swamp,1,0,0,0,0,0,1,0,1,7,0,4,1,0,0,0,0,0,0,0,3,2,0,2,15,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,27,1,0,0,0,0,11,0,0,3,0,0,0,0,0,4,17,0,0,0,1,0,0,2,12,6,0,0,14,0,2,1,0,0,0,0,0
4820,144,Avaiovuna Swamp,0,0,0,0,0,0,5,0,1,12,0,5,0,2,0,0,0,0,0,0,9,3,0,4,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,1,0,0,7,0,0,0,0,0,9,12,0,0,0,4,0,0,3,4,1,0,0,11,0,6,0,1,0,0,0,0
