Site,depth,Cal_yrs_BP,Macrocharcoal,Microcharcoal
Ngofe Marsh,37,353,314,112812.5
Ngofe Marsh,48,476,0,0
Ngofe Marsh,60,610,218.6666667,152120.2147
Ngofe Marsh,68,701,0,0
Ngofe Marsh,76,792,100,6832.963021
Ngofe Marsh,98,1034,114.2857143,22078.76
Ngofe Marsh,106,1104,0,187882.8786
Ngofe Marsh,114,1172,128,74802.55814
Ngofe Marsh,121,1230,130,68067.5
Ngofe Marsh,157,1534,800,57315.80078
Ngofe Marsh,165,1602,0,248894.6522
Ngofe Marsh,173,1669,467.2,104221.5744
Ngofe Marsh,188,1799,624,302682.7692
Ngofe Marsh,199,1941,0,98170.66667
Ngofe Marsh,202,1982,0,2242423.7
Ngofe Marsh,211,2104,0,87708.56838
Ngofe Marsh,219,2217,10.66666667,603162.7027
Ngofe Marsh,228,2338,0,0
Ngofe Marsh,240,2499,4,450637.5893
Ngofe Marsh,249,2622,0,0
Ngofe Marsh,257,2730,6.666666667,628290
Ngofe Marsh,281,3055,1.333333333,2681992.5
Ngofe Marsh,290,3177,0,1061470.333
Ngofe Marsh,298,3287,10,0
Ngofe Marsh,306,3395,0,152057.8261
Ngofe Marsh,314,3505,0.526315789,0
Ngofe Marsh,323,3627,0,241165.787
Ngofe Marsh,330,3721,2.142857143,38946.34615
Ngofe Marsh,338,3829,0,83751.85
Ngofe Marsh,346,3939,0,53420.8169
Ngofe Marsh,355,4062,0,92288.53994
Ngofe Marsh,371,4278,2.285714286,2513328.857
Ngofe Marsh,379,4383,0,229528.583
Ngofe Marsh,386,4473,3.428571429,635456
Ngofe Marsh,395,4607,0,24980.92857
Ngofe Marsh,398,4655,3.2,246483
Ngofe Marsh,410,4851,9.166666667,203534.25
Ngofe Marsh,419,4999,0,23666.14286
Ngofe Marsh,427,5132,6,0
Ngofe Marsh,435,5265,0,110442
Ngofe Marsh,447,5425,0,29201.47059
Ngofe Marsh,456,5518,0,90230.39216
Ngofe Marsh,465,5611,0,6444
Ngofe Marsh,473,5694,0,52591.42857
Ngofe Marsh,487,5840,0,1044.842105
Ngofe Marsh,496,5953,0,5857.796818
Ngofe Marsh,504,6018,0,0
Ngofe Marsh,511,6092,0,12550.22727
Ngofe Marsh,520,6186,0,0
Ngofe Marsh,529,6282,0,0
Ngofe Marsh,539,6385,0,2573.796296
Ngofe Marsh,542,6416,0,9203.5
Ngofe Marsh,545,6448,0,0
Ngofe Marsh,558,6586,0,533.5362319
Ngofe Marsh,571,6722,0,0
Ngofe Marsh,588,6899,0,717.6218324
Ngofe Marsh,596,6983,0,0
Ngofe Marsh,605,7076,0,2008.036364
Ngofe Marsh,614,7171,0,2255.866667
Ngofe Marsh,630,7341,0,7431.397516
Ngofe Marsh,639,7434,0.8,19027.70833
