Cal_yrs_BP,Depth_cm,Site,Acrostichum,Alphitonia,Amaranthaceae,Anacardiaceae,Apiaceae,Araceae,Arecaceae,Asteraceae,Bischofia,Burseraceae,Calophyllum,Casuarina,cf. Ailanthus,cf. Araliaceae,cf. Calamus,cf. Celtis,cf. Clerodendrum,cf. Clethra,cf. Cycas,cf. Desmodium,cf. Diospyros,cf. Entada,cf. Geraniaceae,cf. Maesa,cf. Maniltoa,cf. Maytenus,cf. Neonauclea,cf. Onagraceae,cf. Rosaceae,cf. Senna,cf. Sterculia,Cocos,Combretaceae/Melastromataceae,Cyperaceae,Dracaena,Dysoxylum,Elaeocarpus,Elattostachys,Euphorbiaceae,Excoecaria,Fabaceae,Ficus,Freycinetia,Glochidion,Grewia,Hedycarya,Homalanthus,Homalium,Ixora,Loranthaceae,Macaranga,Malpighiaceae,Malvaceae,Melastromataceae/Sapotaceae,Microsorum,Monolete echinate,Monolete spores,Moraceae/Urticaceae,Oleaceae,Pandanus,Phyllanthaceae,Poaceae,Polygonaceae,Polypodium,Rhamnaceae,Rhizophoraceae,Rhus,Rubiaceae,Sapotaceae,Stenochlaena,Syzygium,Trema,Trilete spores,Vitaceae
349,37,Ngofe Marsh,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,106,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,6,0,0,0,0,0,0,0,0,0,6,0,0
474,48,Ngofe Marsh,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0,4,0,57,0,0,0,0,0,0,0,0,0,10,0,0
610,60,Ngofe Marsh,0,0,0,0,0,1,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,267,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,11,0,0,0,6,0,3,0,0,86,0,41,0,0,0,1,0,0,0,1,0,22,1,0
700,68,Ngofe Marsh,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,3,0,14,0,0,0,0,0,0,0,0,0,6,0,0
791,76,Ngofe Marsh,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,1,0,0,36,0,58,0,0,0,0,1,0,0,2,0,23,1,0
1034,98,Ngofe Marsh,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,1,0,0
1105,106,Ngofe Marsh,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,67,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,3,0,35,0,0,0,0,0,0,0,0,0,7,0,0
1174,114,Ngofe Marsh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0
1233,121,Ngofe Marsh,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,30,0,0,0,1,0,2,0,0,10,0,8,0,0,0,4,0,0,0,2,2,18,0,0
1537,157,Ngofe Marsh,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,12,0,8,0,0,0,1,0,0,0,1,0,5,0,0
1604,165,Ngofe Marsh,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,8,1,0
1670,173,Ngofe Marsh,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,5,0,0,9,0,5,0,0,0,0,0,0,0,0,0,7,0,0
1800,188,Ngofe Marsh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,4,0,3,0,0,0,0,0,0,0,1,0,5,0,0
1941,199,Ngofe Marsh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
1982,202,Ngofe Marsh,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
2103,211,Ngofe Marsh,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,11,0,0,2,0,8,10,0,0,0,0,0,0,0,0,10,0,0
2213,219,Ngofe Marsh,3,0,0,0,0,0,20,1,0,1,0,0,0,1,0,0,0,0,6,1,0,2,3,0,0,1,0,0,0,0,0,0,0,236,0,0,8,0,0,0,1,0,0,0,0,0,1,0,0,2,203,0,1,0,4,0,160,2,0,114,0,73,11,0,1,4,12,0,0,51,0,34,4,0
2336,228,Ngofe Marsh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4,0,12,0,0,1,0,9,1,0,0,0,2,0,0,1,0,3,0,0
2499,240,Ngofe Marsh,1,1,3,0,0,0,6,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,151,0,0,0,8,0,115,7,0,54,1,47,12,0,0,5,9,0,1,52,2,56,1,0
2620,249,Ngofe Marsh,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,4,0,11,0,0,0,0,8,0,0,0,0,2,0,0,10,0,15,2,0
2729,257,Ngofe Marsh,0,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,113,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,16,0,10,0,9,0,0,1,121,1,2,2,0
3054,281,Ngofe Marsh,0,0,5,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,98,0,0,9,0,0,0,2,0,0,0,0,0,0,0,3,0,54,0,0,1,92,0,77,3,0,4,1,53,0,0,0,5,6,0,2,362,6,32,1,0
3176,290,Ngofe Marsh,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,4,0,0,0,0,6,0,0,0,0,0,0,0,21,0,4,0,0
3285,298,Ngofe Marsh,0,1,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,2,65,0,0,50,1,0,0,2,0,0,0,0,0,0,2,9,1,125,0,0,1,0,0,72,26,3,0,0,14,1,0,0,33,11,0,2,151,13,80,3,0
