Cal_yrs_BP,RSL
0,0
1,-0.004285714
2,-0.008571429
3,-0.012857143
4,-0.017142857
5,-0.021428571
6,-0.025714286
7,-0.03
8,-0.034285714
9,-0.038571429
10,-0.042857143
11,-0.047142857
12,-0.051428571
13,-0.055714286
14,-0.06
15,-0.064285714
16,-0.068571429
17,-0.072857143
18,-0.077142857
19,-0.081428571
20,-0.085714286
21,-0.09
22,-0.094285714
23,-0.098571429
24,-0.102857143
25,-0.107142857
26,-0.111428571
27,-0.115714286
28,-0.12
29,-0.124285714
30,-0.128571429
31,-0.132857143
32,-0.137142857
33,-0.141428571
34,-0.145714286
35,-0.15
36,-0.154285714
37,-0.158571429
38,-0.162857143
39,-0.167142857
40,-0.171428571
41,-0.175714286
42,-0.18
43,-0.184285714
44,-0.188571429
45,-0.192857143
46,-0.197142857
47,-0.201428571
48,-0.205714286
49,-0.21
50,-0.214285714
51,-0.218571429
52,-0.222857143
53,-0.227142857
54,-0.231428571
55,-0.235714286
56,-0.24
57,-0.244285714
58,-0.248571429
59,-0.252857143
60,-0.257142857
61,-0.261428571
62,-0.265714286
63,-0.27
64,-0.274285714
65,-0.278571429
66,-0.282857143
67,-0.287142857
68,-0.291428571
69,-0.295714286
70,-0.3
71,-0.304285714
72,-0.308571429
73,-0.312857143
74,-0.317142857
75,-0.321428571
76,-0.325714286
77,-0.33
78,-0.334285714
79,-0.338571429
80,-0.342857143
81,-0.347142857
82,-0.351428571
83,-0.355714286
84,-0.36
85,-0.364285714
86,-0.368571429
87,-0.372857143
88,-0.377142857
89,-0.381428571
90,-0.385714286
91,-0.39
92,-0.394285714
93,-0.398571429
94,-0.402857143
95,-0.407142857
96,-0.411428571
97,-0.415714286
98,-0.42
99,-0.424285714
100,-0.428571429
101,-0.432857143
102,-0.437142857
103,-0.441428571
104,-0.445714286
105,-0.45
106,-0.454285714
107,-0.458571429
108,-0.462857143
109,-0.467142857
110,-0.471428571
111,-0.475714286
112,-0.48
113,-0.484285714
114,-0.488571429
115,-0.492857143
116,-0.497142857
117,-0.501428571
118,-0.505714286
119,-0.51
120,-0.514285714
121,-0.518571429
122,-0.522857143
123,-0.527142857
124,-0.531428571
125,-0.535714286
126,-0.54
127,-0.544285714
128,-0.548571429
129,-0.552857143
130,-0.557142857
131,-0.561428571
132,-0.565714286
133,-0.57
134,-0.574285714
135,-0.578571429
136,-0.582857143
137,-0.587142857
138,-0.591428571
139,-0.595714286
140,-0.6
141,-0.604285714
142,-0.608571429
143,-0.612857143
144,-0.617142857
145,-0.621428571
146,-0.625714286
147,-0.63
148,-0.634285714
149,-0.638571429
150,-0.642857143
151,-0.647142857
152,-0.651428571
153,-0.655714286
154,-0.66
155,-0.664285714
156,-0.668571429
157,-0.672857143
158,-0.677142857
159,-0.681428571
160,-0.685714286
161,-0.69
162,-0.694285714
163,-0.698571429
164,-0.702857143
165,-0.707142857
166,-0.711428571
167,-0.715714286
168,-0.72
169,-0.724285714
170,-0.728571429
171,-0.732857143
172,-0.737142857
173,-0.741428571
174,-0.745714286
175,-0.75
176,-0.754285714
177,-0.758571429
178,-0.762857143
179,-0.767142857
180,-0.771428571
181,-0.775714286
182,-0.78
183,-0.784285714
184,-0.788571429
185,-0.792857143
186,-0.797142857
187,-0.801428571
188,-0.805714286
189,-0.81
190,-0.814285714
191,-0.818571429
192,-0.822857143
193,-0.827142857
194,-0.831428571
195,-0.835714286
196,-0.84
197,-0.844285714
198,-0.848571429
199,-0.852857143
200,-0.857142857
201,-0.861428571
202,-0.865714286
203,-0.87
204,-0.868933749
205,-0.867867499
206,-0.866801248
207,-0.865734998
208,-0.864668747
209,-0.863602496
210,-0.862536246
211,-0.861469995
212,-0.860403745
213,-0.859337494
214,-0.858271243
215,-0.857204993
216,-0.856138742
217,-0.855072492
218,-0.854006241
219,-0.85293999
220,-0.85187374
221,-0.850807489
222,-0.849741239
223,-0.848674988
224,-0.847608737
225,-0.846542487
226,-0.845476236
227,-0.844409986
228,-0.843343735
229,-0.842277484
230,-0.841211234
231,-0.840144983
232,-0.839078733
233,-0.838012482
234,-0.836946231
235,-0.835879981
236,-0.83481373
237,-0.83374748
238,-0.832681229
239,-0.831614978
240,-0.830548728
241,-0.829482477
242,-0.828416227
243,-0.827349976
244,-0.826283725
245,-0.825217475
246,-0.824151224
247,-0.823084974
248,-0.822018723
249,-0.820952472
250,-0.819886222
251,-0.818819971
252,-0.817753721
253,-0.81668747
254,-0.815621219
255,-0.814554969
256,-0.813488718
257,-0.812422468
258,-0.811356217
259,-0.810289966
260,-0.809223716
261,-0.808157465
262,-0.807091215
263,-0.806024964
264,-0.804958713
265,-0.803892463
266,-0.802826212
267,-0.801759962
268,-0.800693711
269,-0.79962746
270,-0.79856121
271,-0.797494959
272,-0.796428709
273,-0.795362458
274,-0.794296207
275,-0.793229957
276,-0.792163706
277,-0.791097456
278,-0.790031205
279,-0.788964954
280,-0.787898704
281,-0.786832453
282,-0.785766203
283,-0.784699952
284,-0.783633701
285,-0.782567451
286,-0.7815012
287,-0.78043495
288,-0.779368699
289,-0.778302448
290,-0.777236198
291,-0.776169947
292,-0.775103697
293,-0.774037446
294,-0.772971195
295,-0.771904945
296,-0.770838694
297,-0.769772444
298,-0.768706193
299,-0.767639942
300,-0.766573692
301,-0.765507441
302,-0.764441191
303,-0.76337494
304,-0.762308689
305,-0.761242439
306,-0.760176188
307,-0.759109938
308,-0.758043687
309,-0.756977436
310,-0.755911186
311,-0.754844935
312,-0.753778685
313,-0.752712434
314,-0.751646183
315,-0.750579933
316,-0.749513682
317,-0.748447432
318,-0.747381181
319,-0.74631493
320,-0.74524868
321,-0.744182429
322,-0.743116179
323,-0.742049928
324,-0.740983677
325,-0.739917427
326,-0.738851176
327,-0.737784926
328,-0.736718675
329,-0.735652424
330,-0.734586174
331,-0.733519923
332,-0.732453673
333,-0.731387422
334,-0.730321171
335,-0.729254921
336,-0.72818867
337,-0.72712242
338,-0.726056169
339,-0.724989918
340,-0.723923668
341,-0.722857417
342,-0.721791167
343,-0.720724916
344,-0.719658665
345,-0.718592415
346,-0.717526164
347,-0.716459914
348,-0.715393663
349,-0.714327412
350,-0.713261162
351,-0.712194911
352,-0.711128661
353,-0.71006241
354,-0.708996159
355,-0.707929909
356,-0.706863658
357,-0.705797408
358,-0.704731157
359,-0.703664906
360,-0.702598656
361,-0.701532405
362,-0.700466155
363,-0.699399904
364,-0.698333653
365,-0.697267403
366,-0.696201152
367,-0.695134902
368,-0.694068651
369,-0.6930024
370,-0.69193615
371,-0.690869899
372,-0.689803649
373,-0.688737398
374,-0.687671147
375,-0.686604897
376,-0.685538646
377,-0.684472396
378,-0.683406145
379,-0.682339894
380,-0.681273644
381,-0.680207393
382,-0.679141143
383,-0.678074892
384,-0.677008641
385,-0.675942391
386,-0.67487614
387,-0.67380989
388,-0.672743639
389,-0.671677388
390,-0.670611138
391,-0.669544887
392,-0.668478637
393,-0.667412386
394,-0.666346135
395,-0.665279885
396,-0.664213634
397,-0.663147384
398,-0.662081133
399,-0.661014882
400,-0.659948632
401,-0.658882381
402,-0.657816131
403,-0.65674988
404,-0.655683629
405,-0.654617379
406,-0.653551128
407,-0.652484878
408,-0.651418627
409,-0.650352376
410,-0.649286126
411,-0.648219875
412,-0.647153625
413,-0.646087374
414,-0.645021123
415,-0.643954873
416,-0.642888622
417,-0.641822372
418,-0.640756121
419,-0.63968987
420,-0.63862362
421,-0.637557369
422,-0.636491119
423,-0.635424868
424,-0.634358617
425,-0.633292367
426,-0.632226116
427,-0.631159866
428,-0.630093615
429,-0.629027364
430,-0.627961114
431,-0.626894863
432,-0.625828613
433,-0.624762362
434,-0.623696111
435,-0.622629861
436,-0.62156361
437,-0.62049736
438,-0.619431109
439,-0.618364858
440,-0.617298608
441,-0.616232357
442,-0.615166107
443,-0.614099856
444,-0.613033605
445,-0.611967355
446,-0.610901104
447,-0.609834854
448,-0.608768603
449,-0.607702352
450,-0.606636102
451,-0.605569851
452,-0.604503601
453,-0.60343735
454,-0.602371099
455,-0.601304849
456,-0.600238598
457,-0.599172348
458,-0.598106097
459,-0.597039846
460,-0.595973596
461,-0.594907345
462,-0.593841095
463,-0.592774844
464,-0.591708593
465,-0.590642343
466,-0.589576092
467,-0.588509842
468,-0.587443591
469,-0.58637734
470,-0.58531109
471,-0.584244839
472,-0.583178589
473,-0.582112338
474,-0.581046087
