"","Cal_yrs_BP","Site","DIST","LITTO","MANG","RAIN","WETL"
"1",3249,"Finemui Swamp",0,0,100,0,0
"2",3456,"Finemui Swamp",20,0,78,0,2
"3",349,"Ngofe Marsh",54,46,0,0,0
"4",43,"Finemui Swamp",11,44,15,0,30
"5",1079,"Lotofoa Swamp",0,21,17,0,62
"6",5672,"Lotofoa Swamp",0,23,45,12,20
"7",2613,"Finemui Swamp",9,0,91,0,0
"8",3911,"Finemui Swamp",0,0,100,0,0
"9",2729,"Ngofe Marsh",1,6,6,2,84
"10",464,"Lotofoa Swamp",0,8,13,0,79
"11",159,"Lotofoa Swamp",0,30,13,0,57
"12",2298,"Finemui Swamp",0,8,89,0,3
"13",5206,"Finemui Swamp",0,44,45,0,11
"14",5058,"Lotofoa Swamp",0,23,8,0,68
"15",6293,"Lotofoa Swamp",0,13,63,14,9
"16",7214,"Lotofoa Swamp",0,0,5,0,95
"17",3598,"Finemui Swamp",19,13,69,0,0
"18",1105,"Ngofe Marsh",62,38,0,0,0
"19",1670,"Ngofe Marsh",45,55,0,0,0
"20",1604,"Ngofe Marsh",67,33,0,0,0
"21",1174,"Ngofe Marsh",100,0,0,0,0
"22",791,"Ngofe Marsh",52,46,0,0,2
"23",3502,"Ngofe Marsh",69,1,23,3,3
"24",4382,"Ngofe Marsh",65,0,2,8,25
"25",2103,"Ngofe Marsh",64,10,0,2,24
"26",1941,"Ngofe Marsh",100,0,0,0,0
"27",6599,"Lotofoa Swamp",0,15,65,16,4
"28",1883,"Finemui Swamp",2,8,86,0,3
"29",4140,"Lotofoa Swamp",0,17,75,0,9
"30",3837,"Lotofoa Swamp",0,19,81,0,0
"31",3222,"Lotofoa Swamp",60,12,17,0,11
"32",3531,"Lotofoa Swamp",15,26,47,0,12
"33",3835,"Lotofoa Swamp",5,6,82,6,0
"34",1996,"Lotofoa Swamp",8,15,69,8,0
"35",2499,"Ngofe Marsh",61,17,2,3,18
"36",369,"Finemui Swamp",41,15,12,3,28
"37",1383,"Lotofoa Swamp",4,19,59,15,3
"38",6906,"Lotofoa Swamp",0,10,36,18,37
"39",860,"Finemui Swamp",22,28,4,5,41
"40",6986,"Ngofe Marsh",36,4,43,17,0
"41",3176,"Ngofe Marsh",34,3,0,8,55
"42",2336,"Ngofe Marsh",81,4,0,7,7
"43",1800,"Ngofe Marsh",65,24,0,6,6
"44",3624,"Ngofe Marsh",82,7,3,7,2
"45",3829,"Ngofe Marsh",84,1,3,12,0
"46",4543,"Finemui Swamp",5,10,71,12,1
"47",2301,"Lotofoa Swamp",6,11,71,12,0
"48",5523,"Ngofe Marsh",12,4,42,42,0
"49",3394,"Ngofe Marsh",33,3,3,31,30
"50",5703,"Ngofe Marsh",14,3,48,35,0
"51",6588,"Ngofe Marsh",15,1,62,22,0
"52",5848,"Ngofe Marsh",19,17,30,33,0
"53",5207,"Finemui Swamp",26,2,55,17,0
"54",4443,"Lotofoa Swamp",0,0,58,27,15
"55",6422,"Ngofe Marsh",24,0,45,31,0
"56",6192,"Ngofe Marsh",37,0,34,28,1
"57",4061,"Ngofe Marsh",42,0,18,40,0
"58",6453,"Ngofe Marsh",24,2,36,37,1
"59",6903,"Ngofe Marsh",16,0,45,39,0
"60",4604,"Ngofe Marsh",27,2,17,51,3
"61",3285,"Ngofe Marsh",46,1,7,14,32
"62",3720,"Ngofe Marsh",77,2,9,10,2
"63",4277,"Ngofe Marsh",54,2,4,23,18
"64",5619,"Ngofe Marsh",25,6,41,27,0
"65",6390,"Ngofe Marsh",22,2,43,33,0
